"eleicao","cargo","municipio","ibge_cod","tse_cod","turno","candidato","partido","votosnom","votosper","situacao"
1982,"VEREADOR","AGUAS DE LINDOIA","3500501","61093","1","NARCISO ALVES DE MORAES","PMDB",169,3.61,"ELEITO"
1982,"VEREADOR","AGUAS DE LINDOIA","3500501","61093","1","MAURO TIENGO","PDS",159,3.39,"ELEITO"
1982,"VEREADOR","AGUAS DE SANTA BARBARA","3500550","70190","1","WILSON MARIANO DA SILVA","PMDB",194,8.83,"ELEITO"
1982,"VEREADOR","AGUAS DE SANTA BARBARA","3500550","70190","1","JOSE MILBAS CASTOR DE QUEIROZ","PMDB",135,6.14,"ELEITO"
1982,"VEREADOR","AGUAS DE SANTA BARBARA","3500550","70190","1","FAWAZ EL KASSIS","PDS",130,5.92,"ELEITO"
1982,"VEREADOR","AGUAS DE SANTA BARBARA","3500550","70190","1","CLOVIS DEL PESO CORTEZ","PMDB",123,5.6,"ELEITO"
1982,"VEREADOR","AGUAS DE SANTA BARBARA","3500550","70190","1","JOSE RODRIGUES CARLOTA","PDS",91,4.14,"ELEITO"
1982,"VEREADOR","AGUAS DE SANTA BARBARA","3500550","70190","1","CARLOS BATISTA","PDS",89,4.05,"ELEITO"
1982,"VEREADOR","AGUAS DE SANTA BARBARA","3500550","70190","1","CLAUDIO PELA","PMDB",84,3.82,"ELEITO"
1982,"VEREADOR","AGUAS DE SANTA BARBARA","3500550","70190","1","MANOEL RODELO FONTES","PMDB",83,3.78,"ELEITO"
1982,"VEREADOR","AGUAS DE SANTA BARBARA","3500550","70190","1","SAULO DE OLIVEIRA BALDANI","PDS",53,2.41,"ELEITO"
1982,"VEREADOR","AGUAS DE SAO PEDRO","3500600","61115","1","JOSE BENEDITO ZANI","PDS",97,7.78,"ELEITO"
1982,"VEREADOR","AGUAS DE SAO PEDRO","3500600","61115","1","CEZARIO SANT ANDREA","PDS",63,5.06,"ELEITO"
1982,"VEREADOR","AGUAS DE SAO PEDRO","3500600","61115","1","PAULO CESAR BORGES","PDS",61,4.9,"ELEITO"
1982,"VEREADOR","AGUAS DE SAO PEDRO","3500600","61115","1","OSWALDO MARIA BARBOSA","PMDB",55,4.41,"ELEITO"
1982,"VEREADOR","AGUAS DE SAO PEDRO","3500600","61115","1","VANDERLEI VALDIR ZAMPIERI","PMDB",49,3.93,"ELEITO"
1982,"VEREADOR","AGUAS DE SAO PEDRO","3500600","61115","1","ELESBAO BONTORIM","PMDB",49,3.93,"ELEITO"
1982,"VEREADOR","AGUAS DE SAO PEDRO","3500600","61115","1","LUIZ JORGE ALGODOAL MAURO","PMDB",48,3.85,"ELEITO"
1982,"VEREADOR","AGUAS DE SAO PEDRO","3500600","61115","1","RUBENS APARECIDO ANTUNES","PDS",47,3.77,"ELEITO"
1982,"VEREADOR","AGUAS DE SAO PEDRO","3500600","61115","1","JOSE BENEDITO DE MORAES","PDS",44,3.53,"ELEITO"
1982,"VEREADOR","AGUDOS","3500709","61131","1","BENEDITO REMOLLI DEO","PTB",445,4.14,"ELEITO"
1982,"VEREADOR","AGUDOS","3500709","61131","1","EDUARDO AUGUSTO QUINTANILHA DE MELLO","PDS",355,3.3,"ELEITO"
1982,"VEREADOR","AGUDOS","3500709","61131","1","ADOLPHO GASPAR","PTB",333,3.1,"ELEITO"
1982,"VEREADOR","AGUDOS","3500709","61131","1","JOSE CARLOS OCTAVIANI","PTB",307,2.86,"ELEITO"
1982,"VEREADOR","AGUDOS","3500709","61131","1","FOEHD SALMEN HESSAIN","PDS",289,2.69,"ELEITO"
1982,"VEREADOR","AGUDOS","3500709","61131","1","MARIA HELENA CATINI CAMPAGNUCCI","PDS",245,2.28,"ELEITO"
1982,"VEREADOR","AGUDOS","3500709","61131","1","APARECIDO DANTAS","PTB",228,2.12,"ELEITO"
1982,"VEREADOR","AGUDOS","3500709","61131","1","OSWALDO ANTONIO","PTB",223,2.07,"ELEITO"
1982,"VEREADOR","AGUDOS","3500709","61131","1","ALCIDES FRANCISCO CASACA","PDS",216,2.01,"ELEITO"
1982,"VEREADOR","AGUDOS","3500709","61131","1","ANTONIO ROBERTO MAININI","PDS",206,1.92,"ELEITO"
1982,"VEREADOR","AGUDOS","3500709","61131","1","ANTONIO CARLOS MARTINS","PDS",201,1.87,"ELEITO"
1982,"VEREADOR","AGUDOS","3500709","61131","1","RUBENS DELFINO DA SILVA","PTB",170,1.58,"ELEITO"
1982,"VEREADOR","AGUDOS","3500709","61131","1","CARLOS HERCULES TRAVAIN","PMDB",117,1.09,"ELEITO"
1982,"VEREADOR","ALFREDO MARCONDES","3500808","61158","1","CIRO CHAGAS FILHO","PMDB",305,11.25,"ELEITO"
1982,"VEREADOR","ALFREDO MARCONDES","3500808","61158","1","ODAIR GIACOMINI","PMDB",298,11,"ELEITO"
1982,"VEREADOR","ALFREDO MARCONDES","3500808","61158","1","JOAO GRACINDO DA COSTA","PMDB",270,9.96,"ELEITO"
1982,"VEREADOR","ALFREDO MARCONDES","3500808","61158","1","ANTENOR LOPES DOS SANTOS","PMDB",231,8.52,"ELEITO"
1982,"VEREADOR","ALFREDO MARCONDES","3500808","61158","1","ELSON SOARES DE LIMA","PMDB",169,6.24,"ELEITO"
1982,"VEREADOR","ALFREDO MARCONDES","3500808","61158","1","CLAUDIO LOPES TARIFA","PMDB",140,5.17,"ELEITO"
1982,"VEREADOR","ALFREDO MARCONDES","3500808","61158","1","APARECIDA JOSE MARTINES DE OLIVEIRA","PMDB",135,4.98,"ELEITO"
1982,"VEREADOR","ALFREDO MARCONDES","3500808","61158","1","GERALDO MARTINS SOBRINHO","PDS",122,4.5,"ELEITO"
1982,"VEREADOR","ALFREDO MARCONDES","3500808","61158","1","LAURINDO PERRETI","PDS",107,3.95,"ELEITO"
1982,"VEREADOR","ALTAIR","3500907","61174","1","JOSE RODRIGUES DA SILVA","PDS",143,11.5,"ELEITO"
1982,"VEREADOR","ALTAIR","3500907","61174","1","ANTONIO DELFINO","PDS",128,10.3,"ELEITO"
1982,"VEREADOR","ALTAIR","3500907","61174","1","OVIDIO DE SOUZA DIAS NETO","PDS",80,6.44,"ELEITO"
1982,"VEREADOR","ALTAIR","3500907","61174","1","ELOY NICEZIO DE FIGUEIREDO","PDS",79,6.36,"ELEITO"
1982,"VEREADOR","ALTAIR","3500907","61174","1","LUIZ FUSTINONI","PDS",77,6.19,"ELEITO"
1982,"VEREADOR","ALTAIR","3500907","61174","1","JOSE DIOGO FLORES","PDS",71,5.71,"ELEITO"
1982,"VEREADOR","ALTAIR","3500907","61174","1","JOSE ANTONIO DE SOUZA","PDS",55,4.42,"ELEITO"
1982,"VEREADOR","ALTAIR","3500907","61174","1","JULIO DURAES","PDS",46,3.7,"ELEITO"
1982,"VEREADOR","ALTAIR","3500907","61174","1","FRANCISCO BATISTA TAVEIRA","PMDB",42,3.38,"ELEITO"
1982,"VEREADOR","ALTINOPOLIS","3501004","61190","1","ANTONIO CARLOS DE ARAUJO","PMDB",399,6.07,"ELEITO"
1982,"VEREADOR","ALTINOPOLIS","3501004","61190","1","JORGE EDUARDO PARADA HURTADO","PMDB",372,5.66,"ELEITO"
1982,"VEREADOR","ALTINOPOLIS","3501004","61190","1","ANTONIO CANDIDO DE OLIVEIRA","PMDB",320,4.87,"ELEITO"
