"JOSE APARECIDO RAIMUNDO DE ALMEIDA";"PDS";"792";"16.9";"AGUAS DE LINDOIA";"1982"
"JOSE UBERTO RODRIGUES";"PMDB";"625";"13.34";"AGUAS DE LINDOIA";"1982"
"SEBASTIAO BERNARDINO FILHO";"PDS";"248";"5.29";"AGUAS DE LINDOIA";"1982"
"JOSE MARIO DIZERO RENZO";"PMDB";"201";"4.29";"AGUAS DE LINDOIA";"1982"
"PAULO APARECIDO SILVERIO";"PDS";"1024";"46.61";"AGUAS DE SANTA BARBARA";"1982"
"JOSE MARIANO DA SILVA";"PMDB";"979";"44.56";"AGUAS DE SANTA BARBARA";"1982"
"ARISTIDES GARCIA";"PMDB";"106";"4.82";"AGUAS DE SANTA BARBARA";"1982"
"PAULO APARECIDO SILVERIO";"PDS";"1024";"46.61";"AGUAS DE SANTA BARBARA";"1982"
"JOSE MARIANO DA SILVA";"PMDB";"979";"44.56";"AGUAS DE SANTA BARBARA";"1982"
"ARISTIDES GARCIA";"PMDB";"106";"4.82";"AGUAS DE SANTA BARBARA";"1982"
"LEONARDO BELMIRO";"PDS";"377";"30.26";"AGUAS DE SAO PEDRO";"1982"
"SEBASTIAO ARA";"PDS";"298";"23.92";"AGUAS DE SAO PEDRO";"1982"
"LOURENCO SANTOS NETO";"PMDB";"293";"23.52";"AGUAS DE SAO PEDRO";"1982"
"BENEDITO ANTONIO ITIPAO";"PMDB";"114";"9.15";"AGUAS DE SAO PEDRO";"1982"
"THOMAZ AQUINO MACIEL NETO";"PMDB";"65";"5.22";"AGUAS DE SAO PEDRO";"1982"
"LEONARDO BELMIRO";"PDS";"377";"30.26";"AGUAS DE SAO PEDRO";"1982"
"SEBASTIAO ARA";"PDS";"298";"23.92";"AGUAS DE SAO PEDRO";"1982"
"LOURENCO SANTOS NETO";"PMDB";"293";"23.52";"AGUAS DE SAO PEDRO";"1982"
"BENEDITO ANTONIO ITIPAO";"PMDB";"114";"9.15";"AGUAS DE SAO PEDRO";"1982"
"THOMAZ AQUINO MACIEL NETO";"PMDB";"65";"5.22";"AGUAS DE SAO PEDRO";"1982"
"RUBENS APARECIDO BENAZZIO";"PTB";"3762";"34.99";"AGUDOS";"1982"
"ANTONIO CONDI";"PDS";"2023";"18.82";"AGUDOS";"1982"
"ANTONIO FERNANDO DAMANTE";"PDS";"1943";"18.07";"AGUDOS";"1982"
"LUIZ VALDEMIR TENDOLO";"PMDB";"804";"7.48";"AGUDOS";"1982"
"JOSE IGNACIO FERREIRA";"PTB";"584";"5.43";"AGUDOS";"1982"
"MARIA DE LURDES ALVES";"PT";"233";"2.17";"AGUDOS";"1982"
"HAMAD MITRI ANTONIOS SALEH";"PDS";"41";"0.38";"AGUDOS";"1982"
"RUBENS APARECIDO BENAZZIO";"PTB";"3762";"34.99";"AGUDOS";"1982"
"ANTONIO CONDI";"PDS";"2023";"18.82";"AGUDOS";"1982"
"ANTONIO FERNANDO DAMANTE";"PDS";"1943";"18.07";"AGUDOS";"1982"
"LUIZ VALDEMIR TENDOLO";"PMDB";"804";"7.48";"AGUDOS";"1982"
"JOSE IGNACIO FERREIRA";"PTB";"584";"5.43";"AGUDOS";"1982"
"MARIA DE LURDES ALVES";"PT";"233";"2.17";"AGUDOS";"1982"
"HAMAD MITRI ANTONIOS SALEH";"PDS";"41";"0.38";"AGUDOS";"1982"
"LUIZ ANTONIO ZAMPIERI";"PMDB";"1324";"48.86";"ALFREDO MARCONDES";"1982"
"JOSE SOARES DE OLIVEIRA";"PDS";"646";"23.84";"ALFREDO MARCONDES";"1982"
"GILTON HUMBERTO MORGAN AGUIAR";"PMDB";"493";"18.19";"ALFREDO MARCONDES";"1982"
"LUIZ ANTONIO ZAMPIERI";"PMDB";"1324";"48.86";"ALFREDO MARCONDES";"1982"
"JOSE SOARES DE OLIVEIRA";"PDS";"646";"23.84";"ALFREDO MARCONDES";"1982"
"GILTON HUMBERTO MORGAN AGUIAR";"PMDB";"493";"18.19";"ALFREDO MARCONDES";"1982"
"RUY RODRIGUES DE CASTRO";"PDS";"596";"47.95";"ALTAIR";"1982"
"NOBORU UEHARA";"PDS";"371";"29.85";"ALTAIR";"1982"
"URBANO FERREIRA DA SILVA";"PMDB";"136";"10.94";"ALTAIR";"1982"
"HICHEL AYDAR";"PMDB";"41";"3.3";"ALTAIR";"1982"
"RUY RODRIGUES DE CASTRO";"PDS";"596";"47.95";"ALTAIR";"1982"
